DATE,USD/EURO,OIL,DOW JONES,J&J,AMOZON,APPLE,BERKSHIRE,GOOGLE,Volume,Close
9/3/13,0.7593,108.54,14833.95996,86.419998,288.799988,69.797142,112.080002,430.620605,3731610000,1639.77002
9/4/13,0.7571,107.23,14930.87012,86.900002,293.640015,71.241432,112.080002,436.251251,3312150000,1653.079956
9/5/13,0.7622,108.37,14937.48047,87.040001,294.100006,70.752853,112.269997,440.220215,2957110000,1655.079956
9/6/13,0.7588,110.53,14922.5,87.160004,295.859985,71.174286,111.860001,440.230225,3123880000,1655.170044
9/9/13,0.7544,109.52,15063.12012,87.559998,299.709991,72.309998,112.669998,444.469482,3102780000,1671.709961
9/10/13,0.7537,107.39,15191.05957,88.529999,300.359985,70.662857,113.589996,444.779785,3691800000,1683.98999
9/11/13,0.7512,107.56,15326.59961,89.230003,299.640015,66.815712,114.279999,448.543549,3135460000,1689.130005
9/12/13,0.7519,108.6,15300.63965,89.010002,298.859985,67.527145,113.379997,446.97699,3106290000,1683.420044
9/13/13,0.7522,108.21,15376.05957,88.57,297.920013,66.414284,113.540001,444.97998,2736500000,1687.98999
9/16/13,0.75,106.59,15494.78027,89.029999,296.059998,64.302856,114.839996,444.32431,3079800000,1697.599976
9/17/13,0.7486,105.42,15529.73047,89.059998,304.170013,65.045715,115.389999,443.498505,2774240000,1704.76001
9/18/13,0.7396,108.07,15676.94043,89.910004,312.029999,66.382858,116.699997,452.112122,3989760000,1725.52002
9/19/13,0.7391,106.39,15636.54981,90.07,312.059998,67.471428,117.169998,449.644653,3740130000,1722.339966
9/20/13,0.7394,104.68,15451.08984,89.68,316.339996,66.772858,117.900002,452.007019,5074030000,1709.910034
9/23/13,0.7411,103.59,15401.37988,89.089996,311.48999,70.091431,115.639999,443.693695,3126950000,1701.839966
9/24/13,0.7422,103.13,15334.58984,88.220001,314.130005,69.871429,115.050003,443.863861,3268930000,1697.420044
9/25/13,0.7393,102.66,15273.25977,87.080002,312.649994,68.790001,115.510002,439.054047,3148730000,1692.77002
9/26/13,0.7413,103.03,15328.29981,87.07,318.119995,69.459999,115.790001,439.524536,2813930000,1698.670044
9/27/13,0.7396,102.87,15258.24023,86.730003,316.01001,68.964287,114.849998,438.633636,2951700000,1691.75
9/30/13,0.7393,102.33,15129.66992,86.690002,312.640015,68.10714,113.510002,438.393402,3308630000,1681.550049
10/1/13,0.7393,102.04,15191.7002,87.470001,320.950012,69.708572,114.139999,443.943939,3238690000,1695
